"geracao","O","B","Y"
0,0.1015,0.8,0.0985
1,0.6084,0.3914,2e-04
2,0.9313,0.0672,0.0015
3,0.9901,0.005,0.0049
4,0.9902,0,0.0098
5,0.9838,0,0.0162
6,0.9758,0,0.0242
7,0.9662,0,0.0338
8,0.955,0,0.045
9,0.9422,0,0.0578
10,0.9278,0,0.0722
11,0.9118,0,0.0882
12,0.8942,0,0.1058
13,0.875,0,0.125
14,0.8542,0,0.1458
15,0.8318,0,0.1682
16,0.8078,0,0.1922
17,0.7822,0,0.2178
18,0.755,0,0.245
19,0.7262,0,0.2738
20,0.6958,0,0.3042
21,0.6646,0,0.3354
22,0.6332,0,0.3668
23,0.601,0,0.399
24,0.568,0,0.432
25,0.5342,0,0.4658
26,0.4996,0,0.5004
27,0.4642,0,0.5358
28,0.428,0,0.572
29,0.391,0,0.609
30,0.3532,0,0.6468
31,0.3174,0,0.6826
32,0.2842,0,0.7158
33,0.251,0,0.749
34,0.2178,0,0.7822
35,0.1922,0,0.8078
36,0.1682,0,0.8318
37,0.1458,0,0.8542
38,0.125,0,0.875
39,0.1058,0,0.8942
40,0.0882,0,0.9118
41,0.0722,0,0.9278
42,0.0578,0,0.9422
43,0.045,0,0.955
44,0.0338,0,0.9662
45,0.0242,0,0.9758
46,0.0162,0,0.9838
47,0.0098,0,0.9902
48,0.005,0,0.995
49,0.0018,0,0.9982
50,2e-04,0,0.9998
51,0,0,1
52,0,0,1
53,0,0,1
54,0,0,1
55,0,0,1
56,0,0,1
57,0,0,1
58,0,0,1
59,0,0,1
60,0,0,1
61,0,0,1
62,0,0,1
63,0,0,1
64,0,0,1
65,0,0,1
66,0,0,1
67,0,0,1
68,0,0,1
69,0,0,1
70,0,0,1
71,0,0,1
72,0,0,1
73,0,0,1
74,0,0,1
75,0,0,1
76,0,0,1
77,0,0,1
78,0,0,1
79,0,0,1
80,0,0,1
81,0,0,1
82,0,0,1
83,0,0,1
84,0,0,1
85,0,0,1
86,0,0,1
87,0,0,1
88,0,0,1
89,0,0,1
90,0,0,1
91,0,0,1
92,0,0,1
93,0,0,1
94,0,0,1
95,0,0,1
96,0,0,1
97,0,0,1
98,0,0,1
99,0,0,1
100,0,0,1
