"","Generation","strategy","prob","freq_media","freq_sd"
"1",0,"B",0,0.333302,0.00402055275359551
"2",0,"O",0,0.333422,0.00437960332136659
"3",0,"Y",0,0.333276,0.00472925816891855
"4",1,"B",0,0.336703,0.00629184906418333
"5",1,"O",0,0.333152,0.00681755725085509
"6",1,"Y",0,0.330145,0.00641477736845704
"7",2,"B",0,0.342997,0.00866801219158899
"8",2,"O",0,0.334416,0.00908050103187589
"9",2,"Y",0,0.322587,0.0082664058487692
"10",3,"B",0,0.354619,0.0106881478302091
"11",3,"O",0,0.333688,0.0102502552813739
"12",3,"Y",0,0.311693,0.00944890838652644
"13",4,"B",0,0.36961,0.0127970364309141
"14",4,"O",0,0.330033,0.0120232691482018
"15",4,"Y",0,0.300357,0.0103291707647259
"16",5,"B",0,0.385398,0.0148407504779063
"17",5,"O",0,0.325435,0.0130061630690138
"18",5,"Y",0,0.289167,0.0111732278779286
"19",6,"B",0,0.403616,0.0169853812367452
"20",6,"O",0,0.318189,0.0146225707297819
"21",6,"Y",0,0.278195,0.0119318635881772
"22",7,"B",0,0.423472,0.0175556838762731
"23",7,"O",0,0.308718,0.0148654801809461
"24",7,"Y",0,0.26781,0.0125131970738937
"25",8,"B",0,0.444153,0.0189025809525225
"26",8,"O",0,0.298679,0.0161256261016966
"27",8,"Y",0,0.257168,0.0128901722802351
"28",9,"B",0,0.465468,0.0191495912343957
"29",9,"O",0,0.286258,0.0165369325261288
"30",9,"Y",0,0.248274,0.0129156988493723
"31",10,"B",0,0.487752,0.0209045376157736
"32",10,"O",0,0.272717,0.0177667721584224
"33",10,"Y",0,0.239531,0.0134247750390271
"34",11,"B",0,0.508599,0.0219275874162889
"35",11,"O",0,0.258457,0.0190590642557034
"36",11,"Y",0,0.232944,0.0146635900354338
"37",12,"B",0,0.529234,0.0223595062376592
"38",12,"O",0,0.243561,0.0198958038061022
"39",12,"Y",0,0.227205,0.0148161962634534
"40",13,"B",0,0.548948,0.0223568554555104
"41",13,"O",0,0.228304,0.0198314611797833
"42",13,"Y",0,0.222748,0.015036692361411
"43",14,"B",0,0.568535,0.0219053859665479
"44",14,"O",0,0.211937,0.0194478045552757
"45",14,"Y",0,0.219528,0.0159742221637667
"46",15,"B",0,0.586214,0.0219053059390374
"47",15,"O",0,0.196282,0.0195324975516717
"48",15,"Y",0,0.217504,0.0162031417330159
"49",16,"B",0,0.602442,0.021406744807007
"50",16,"O",0,0.180546,0.0190898059421538
"51",16,"Y",0,0.217012,0.0164278297994346
"52",17,"B",0,0.616504,0.0215509399827807
"53",17,"O",0,0.166208,0.0189195248408098
"54",17,"Y",0,0.217288,0.0172786683456214
"55",18,"B",0,0.627814,0.0218942731315656
"56",18,"O",0,0.152727,0.0179515332622215
"57",18,"Y",0,0.219459,0.0187244295404736
"58",19,"B",0,0.63734,0.0212264985907766
"59",19,"O",0,0.139418,0.0174018133270848
"60",19,"Y",0,0.223242,0.0189771163629922
"61",20,"B",0,0.64476,0.0213242357495651
"62",20,"O",0,0.126968,0.0163120571382278
"63",20,"Y",0,0.228272,0.0191831053615709
"64",21,"B",0,0.650195,0.0215386726422944
"65",21,"O",0,0.115906,0.0161889401079311
"66",21,"Y",0,0.233899,0.0195005594066354
"67",22,"B",0,0.652317,0.0223600295214926
"68",22,"O",0,0.105481,0.015724096511759
"69",22,"Y",0,0.242202,0.0207413020835533
"70",23,"B",0,0.653263,0.0223104118240246
"71",23,"O",0,0.095137,0.0148844753710269
"72",23,"Y",0,0.2516,0.0218068425921403
"73",24,"B",0,0.651867,0.0224054243747835
"74",24,"O",0,0.086206,0.0143954034470744
"75",24,"Y",0,0.261927,0.0229220367482226
"76",25,"B",0,0.648718,0.0225893216034712
"77",25,"O",0,0.078027,0.0137280944332299
"78",25,"Y",0,0.273255,0.0235473662985048
"79",26,"B",0,0.642995,0.0235142096519436
"80",26,"O",0,0.07125,0.0133911964145905
"81",26,"Y",0,0.285755,0.0248620126240249
"82",27,"B",0,0.635699,0.0243152880162488
"83",27,"O",0,0.064927,0.0129959422960252
"84",27,"Y",0,0.299374,0.0254239909764718
"85",28,"B",0,0.627435,0.0251221958081339
"86",28,"O",0,0.059349,0.0130160700596601
"87",28,"Y",0,0.313216,0.0262788032259823
"88",29,"B",0,0.617746,0.0259872129395139
"89",29,"O",0,0.054663,0.0127816286643421
"90",29,"Y",0,0.327591,0.0272651518250019
"91",30,"B",0,0.606242,0.0266037484257958
"92",30,"O",0,0.050815,0.0125638520680514
"93",30,"Y",0,0.342943,0.0282123558252784
"94",31,"B",0,0.59475,0.0271895906255287
"95",31,"O",0,0.047276,0.0126564242480835
"96",31,"Y",0,0.357974,0.0292691571384616
"97",32,"B",0,0.582569,0.0279744136162265
"98",32,"O",0,0.044188,0.012660008457399
"99",32,"Y",0,0.373243,0.0296162194676423
"100",33,"B",0,0.569048,0.0280629432497446
"101",33,"O",0,0.041472,0.0123300575502274
"102",33,"Y",0,0.38948,0.0302385799463486
"103",34,"B",0,0.555367,0.027873415360131
"104",34,"O",0,0.039513,0.0120821736538596
"105",34,"Y",0,0.40512,0.0302446422335987
"106",35,"B",0,0.54115,0.0280169050699211
"107",35,"O",0,0.037703,0.0118377026077826
"108",35,"Y",0,0.421147,0.0305979944381386
"109",36,"B",0,0.526375,0.0282249312208948
"110",36,"O",0,0.036273,0.0116201484282667
"111",36,"Y",0,0.437352,0.0308781851667471
"112",37,"B",0,0.512292,0.0284957366295487
"113",37,"O",0,0.035707,0.0115524124464691
"114",37,"Y",0,0.452001,0.0315887254372106
"115",38,"B",0,0.498649,0.0288909356131999
"116",38,"O",0,0.034945,0.0114517465916776
"117",38,"Y",0,0.466406,0.0321169416886842
"118",39,"B",0,0.48516,0.0290131318230524
"119",39,"O",0,0.03468,0.0116074166467876
"120",39,"Y",0,0.48016,0.0327755914353867
"121",40,"B",0,0.472153,0.0286023784240953
"122",40,"O",0,0.034202,0.0118369647010259
"123",40,"Y",0,0.493645,0.0325792224020653
"124",41,"B",0,0.460066,0.0288324074820699
"125",41,"O",0,0.033723,0.0119573810094878
"126",41,"Y",0,0.506211,0.033091800366785
"127",42,"B",0,0.447877,0.0280578077683856
