"","Generation","strategy","prob","freq_media","freq_sd"
"1",0,"B",0.25,0.333302,0.00402055275359551
"2",0,"O",0.25,0.333422,0.00437960332136659
"3",0,"Y",0.25,0.333276,0.00472925816891855
"4",1,"B",0.25,0.335545,0.00646200042517404
"5",1,"O",0.25,0.333333,0.00628369792367198
"6",1,"Y",0.25,0.331122,0.00616542297040847
"7",2,"B",0.25,0.33822,0.00814047128410098
"8",2,"O",0.25,0.334414,0.00761817364576115
"9",2,"Y",0.25,0.327366,0.00825216494397841
"10",3,"B",0.25,0.340623,0.00917287233469903
"11",3,"O",0.25,0.335949,0.0081097832799949
"12",3,"Y",0.25,0.323428,0.00867833806181527
"13",4,"B",0.25,0.344602,0.0107149662160037
"14",4,"O",0.25,0.336445,0.0098226842697211
"15",4,"Y",0.25,0.318953,0.00961328473698472
"16",5,"B",0.25,0.348545,0.0110263538759637
"17",5,"O",0.25,0.337147,0.0105731550197047
"18",5,"Y",0.25,0.314308,0.0100975712651382
"19",6,"B",0.25,0.354168,0.0124952991564869
"20",6,"O",0.25,0.336583,0.0114576960594135
"21",6,"Y",0.25,0.309249,0.0109269335944618
"22",7,"B",0.25,0.360133,0.0130586637134049
"23",7,"O",0.25,0.335777,0.0119213318268242
"24",7,"Y",0.25,0.30409,0.0118625844187053
"25",8,"B",0.25,0.366646,0.0145618598268271
"26",8,"O",0.25,0.334601,0.0129134844173825
"27",8,"Y",0.25,0.298753,0.0134574034672669
"28",9,"B",0.25,0.372974,0.0166796047963258
"29",9,"O",0.25,0.333736,0.014427033547119
"30",9,"Y",0.25,0.29329,0.0152364892957862
"31",10,"B",0.25,0.380348,0.0183593010584155
"32",10,"O",0.25,0.331399,0.0163823290792429
"33",10,"Y",0.25,0.288253,0.0154953525453618
"34",11,"B",0.25,0.387713,0.0187234399358212
"35",11,"O",0.25,0.328561,0.0166144265837576
"36",11,"Y",0.25,0.283726,0.0149410195316941
"37",12,"B",0.25,0.395483,0.0201821706243682
"38",12,"O",0.25,0.326054,0.0174431336958504
"39",12,"Y",0.25,0.278463,0.0152718772039764
"40",13,"B",0.25,0.403097,0.0216164474183409
"41",13,"O",0.25,0.322516,0.0182279434723812
"42",13,"Y",0.25,0.274387,0.0162404387100518
"43",14,"B",0.25,0.411287,0.0219851219434573
"44",14,"O",0.25,0.318419,0.0186480464219053
"45",14,"Y",0.25,0.270294,0.0164234115970114
