"","Generation","strategy","prob","freq_media","freq_sd"
"1",0,"B",0,0.333302,0.00402055275359551
"2",0,"O",0,0.333422,0.00437960332136659
"3",0,"Y",0,0.333276,0.00472925816891855
"4",1,"B",0,0.376647,0.00739282282304461
"5",1,"O",0,0.347858,0.00792384433787724
"6",1,"Y",0,0.275495,0.00767448053715374
"7",2,"B",0,0.361367,0.00848984009557806
"8",2,"O",0,0.43008,0.0115297069092905
"9",2,"Y",0,0.208553,0.00934759143611688
"10",3,"B",0,0.316967,0.00916766446360095
"11",3,"O",0,0.503503,0.0120669634569227
"12",3,"Y",0,0.17953,0.00919631568739472
"13",4,"B",0,0.28127,0.00841747220867633
"14",4,"O",0,0.535552,0.0113643379823806
"15",4,"Y",0,0.183178,0.0102257308646948
"16",5,"B",0,0.264975,0.00804772852073393
"17",5,"O",0,0.538114,0.012109300374322
"18",5,"Y",0,0.196911,0.0107414414603658
"19",6,"B",0,0.257045,0.00812130724164105
"20",6,"O",0,0.532154,0.0117795355844727
"21",6,"Y",0,0.210801,0.011344152545241
"22",7,"B",0,0.254303,0.00846255513387886
"23",7,"O",0,0.52455,0.0123569593527067
"24",7,"Y",0,0.221147,0.0114113929867913
"25",8,"B",0,0.252819,0.00888019809361357
"26",8,"O",0,0.519438,0.0128852807732723
"27",8,"Y",0,0.227743,0.0119720149692624
"28",9,"B",0,0.252598,0.00961477167401464
"29",9,"O",0,0.51578,0.0136725560111776
"30",9,"Y",0,0.231622,0.0126618298580235
"31",10,"B",0,0.25206,0.00970360757656656
"32",10,"O",0,0.514029,0.0143822020693507
"33",10,"Y",0,0.233911,0.013081298973278
"34",11,"B",0,0.252349,0.00988001242178093
"35",11,"O",0,0.51269,0.0142316867971056
"36",11,"Y",0,0.234961,0.0127942608266758
"37",12,"B",0,0.252311,0.0107021086848822
"38",12,"O",0,0.51311,0.0134483260946288
"39",12,"Y",0,0.234579,0.0121977584875752
"40",13,"B",0,0.251155,0.0100897925717734
"41",13,"O",0,0.514655,0.0126122545425655
"42",13,"Y",0,0.23419,0.0120797476393467
"43",14,"B",0,0.251406,0.00990725496846129
"44",14,"O",0,0.515737,0.0122647944470457
"45",14,"Y",0,0.232857,0.0120175818589837
"46",15,"B",0,0.250257,0.00940489078655732
"47",15,"O",0,0.517323,0.0120120381957502
"48",15,"Y",0,0.23242,0.0120845673351083
"49",16,"B",0,0.250447,0.0102427353413396
"50",16,"O",0,0.518324,0.0118465024459551
"51",16,"Y",0,0.231229,0.0118775851625206
"52",17,"B",0,0.249958,0.0104773269395385
"53",17,"O",0,0.519581,0.0115560181094292
"54",17,"Y",0,0.230461,0.0120414930363911
"55",18,"B",0,0.250133,0.00986352381353652
"56",18,"O",0,0.519713,0.0120962691885899
"57",18,"Y",0,0.230154,0.0119800964566697
"58",19,"B",0,0.251129,0.00966347172907262
"59",19,"O",0,0.520426,0.0120072673280338
"60",19,"Y",0,0.228445,0.0129457482977964
"61",20,"B",0,0.250684,0.0096982318496776
"62",20,"O",0,0.521512,0.0125801051849596
"63",20,"Y",0,0.227804,0.0129265361707511
"64",21,"B",0,0.251228,0.00992905215857368
"65",21,"O",0,0.522295,0.0130031416172859
"66",21,"Y",0,0.226477,0.012413172011776
"67",22,"B",0,0.251142,0.0098313575827142
"68",22,"O",0,0.523195,0.0120301756538559
"69",22,"Y",0,0.225663,0.0122121123430301
"70",23,"B",0,0.249883,0.00924576949395525
"71",23,"O",0,0.523993,0.0117066954424303
"72",23,"Y",0,0.226124,0.0120407734910439
"73",24,"B",0,0.249801,0.00932451417750355
"74",24,"O",0,0.523879,0.0121972284896317
"75",24,"Y",0,0.22632,0.011721645349394
"76",25,"B",0,0.249028,0.00882812402140872
"77",25,"O",0,0.52472,0.0131034809161998
"78",25,"Y",0,0.226252,0.0119378819839462
"79",26,"B",0,0.248424,0.00818711873196628
"80",26,"O",0,0.524557,0.0136661437815715
"81",26,"Y",0,0.227019,0.012159526298256
"82",27,"B",0,0.248971,0.00859135453390632
"83",27,"O",0,0.52335,0.0130397643592764
"84",27,"Y",0,0.227679,0.0112166569408756
"85",28,"B",0,0.249072,0.00920172447606063
"86",28,"O",0,0.523611,0.013665926772285
"87",28,"Y",0,0.227317,0.0110192948774393
"88",29,"B",0,0.248944,0.0104617178032071
"89",29,"O",0,0.523539,0.0129087543312218
"90",29,"Y",0,0.227517,0.0103107578908065
"91",30,"B",0,0.248055,0.0103019501439134
"92",30,"O",0,0.525754,0.0112761697415569
"93",30,"Y",0,0.226191,0.0113488138035424
"94",31,"B",0,0.247633,0.00960430306548775
"95",31,"O",0,0.526503,0.0121543146514505
"96",31,"Y",0,0.225864,0.0124641345670307
"97",32,"B",0,0.247643,0.00992329424570635
"98",32,"O",0,0.526954,0.0135081226592661
"99",32,"Y",0,0.225403,0.01336182905734
"100",33,"B",0,0.246588,0.00952896996987967
"101",33,"O",0,0.527156,0.0137022693689252
"102",33,"Y",0,0.226256,0.0139701942460628
"103",34,"B",0,0.246361,0.00992704595608086
"104",34,"O",0,0.526415,0.0139612550085636
"105",34,"Y",0,0.227224,0.0138948004227437
"106",35,"B",0,0.246888,0.00893447844311603
"107",35,"O",0,0.525926,0.0143069709645969
"108",35,"Y",0,0.227186,0.0139750139227628
"109",36,"B",0,0.2468,0.00896663850395487
"110",36,"O",0,0.526707,0.0139349879762772
"111",36,"Y",0,0.226493,0.0128674301469197
"112",37,"B",0,0.246147,0.010366636996937
"113",37,"O",0,0.527047,0.0137794346470354
"114",37,"Y",0,0.226806,0.0120740126643209
"115",38,"B",0,0.24632,0.0105053040956183
"116",38,"O",0,0.527108,0.0126746042115402
"117",38,"Y",0,0.226572,0.0117528082180431
"118",39,"B",0,0.245652,0.0102399049080181
"119",39,"O",0,0.527032,0.0130979363013238
"120",39,"Y",0,0.227316,0.0121603987175461
"121",40,"B",0,0.246646,0.0102836775641025
"122",40,"O",0,0.525599,0.0130621319821533
"123",40,"Y",0,0.227755,0.0128235765744825
"124",41,"B",0,0.247366,0.0104737499676018
"125",41,"O",0,0.525404,0.0131078966098819
"126",41,"Y",0,0.22723,0.0134522913072139
"127",42,"B",0,0.248516,0.00951399522022715
