"","Generation","O","Y","B"
"1",0,0.3294,0.335,0.3356
"2",1,0.2415,0.5397,0.2188
"3",2,0.2,0.6282,0.1718
"4",3,0.1749,0.6885,0.1366
"5",4,0.1713,0.711,0.1177
"6",5,0.1705,0.7304,0.0991
"7",6,0.1745,0.7426,0.0829
"8",7,0.1918,0.7378,0.0704
"9",8,0.209,0.7294,0.0616
"10",9,0.2343,0.7062,0.0595
"11",10,0.2551,0.6888,0.0561
"12",11,0.2778,0.671,0.0512
"13",12,0.2986,0.6496,0.0518
"14",13,0.3256,0.6212,0.0532
"15",14,0.3583,0.5927,0.049
"16",15,0.3969,0.56,0.0431
"17",16,0.4353,0.5277,0.037
"18",17,0.4678,0.4969,0.0353
"19",18,0.4947,0.4734,0.0319
"20",19,0.5354,0.433,0.0316
"21",20,0.5759,0.3954,0.0287
"22",21,0.6195,0.3512,0.0293
"23",22,0.6557,0.3133,0.031
"24",23,0.6971,0.2715,0.0314
"25",24,0.7358,0.2311,0.0331
"26",25,0.7646,0.199,0.0364
"27",26,0.7921,0.1667,0.0412
"28",27,0.8113,0.1429,0.0458
"29",28,0.8325,0.118,0.0495
"30",29,0.8446,0.1008,0.0546
"31",30,0.8583,0.0816,0.0601
"32",31,0.8647,0.0678,0.0675
"33",32,0.8687,0.0575,0.0738
"34",33,0.8745,0.0441,0.0814
"35",34,0.8761,0.0357,0.0882
"36",35,0.8723,0.0319,0.0958
"37",36,0.8679,0.0313,0.1008
"38",37,0.8672,0.0261,0.1067
"39",38,0.863,0.0228,0.1142
"40",39,0.8576,0.0216,0.1208
"41",40,0.8519,0.0189,0.1292
"42",41,0.8451,0.0182,0.1367
"43",42,0.8412,0.0173,0.1415
"44",43,0.8349,0.0168,0.1483
"45",44,0.828,0.0157,0.1563
"46",45,0.8208,0.0154,0.1638
"47",46,0.8123,0.017,0.1707
"48",47,0.8018,0.0196,0.1786
"49",48,0.7933,0.0237,0.183
"50",49,0.784,0.0245,0.1915
"51",50,0.7748,0.026,0.1992
"52",51,0.7656,0.0279,0.2065
"53",52,0.7588,0.0286,0.2126
"54",53,0.7529,0.0286,0.2185
"55",54,0.7457,0.03,0.2243
"56",55,0.7428,0.0301,0.2271
"57",56,0.7358,0.0299,0.2343
"58",57,0.7323,0.0303,0.2374
"59",58,0.7275,0.03,0.2425
"60",59,0.7257,0.0289,0.2454
"61",60,0.7165,0.0324,0.2511
"62",61,0.7123,0.033,0.2547
"63",62,0.7088,0.0333,0.2579
"64",63,0.7062,0.0333,0.2605
"65",64,0.7015,0.0339,0.2646
"66",65,0.6987,0.0337,0.2676
"67",66,0.6927,0.033,0.2743
"68",67,0.687,0.033,0.28
"69",68,0.6814,0.0364,0.2822
"70",69,0.6761,0.0365,0.2874
"71",70,0.6744,0.0376,0.288
"72",71,0.6707,0.0408,0.2885
"73",72,0.6689,0.0437,0.2874
"74",73,0.6657,0.0451,0.2892
"75",74,0.6621,0.0468,0.2911
"76",75,0.662,0.0459,0.2921
"77",76,0.6622,0.0459,0.2919
"78",77,0.6572,0.0482,0.2946
"79",78,0.6583,0.0462,0.2955
"80",79,0.6534,0.0436,0.303
"81",80,0.6452,0.0421,0.3127
"82",81,0.6405,0.0462,0.3133
"83",82,0.6347,0.0481,0.3172
"84",83,0.6291,0.0498,0.3211
"85",84,0.6316,0.0529,0.3155
"86",85,0.6289,0.0547,0.3164
"87",86,0.6266,0.0565,0.3169
"88",87,0.616,0.0643,0.3197
"89",88,0.6085,0.0754,0.3161
"90",89,0.604,0.0792,0.3168
"91",90,0.6014,0.0861,0.3125
"92",91,0.5952,0.0908,0.314
"93",92,0.594,0.0894,0.3166
"94",93,0.5905,0.0925,0.317
"95",94,0.595,0.0953,0.3097
"96",95,0.5929,0.0974,0.3097
"97",96,0.5904,0.1003,0.3093
"98",97,0.5916,0.1081,0.3003
"99",98,0.5915,0.1097,0.2988
"100",99,0.5953,0.1107,0.294
"101",100,0.591,0.1138,0.2952
"102",101,0.5878,0.1161,0.2961
"103",102,0.5896,0.1184,0.292
"104",103,0.5903,0.1161,0.2936
"105",104,0.5898,0.1179,0.2923
"106",105,0.5935,0.118,0.2885
"107",106,0.588,0.1227,0.2893
"108",107,0.5868,0.1328,0.2804
"109",108,0.5765,0.1461,0.2774
"110",109,0.5715,0.1546,0.2739
"111",110,0.5658,0.1592,0.275
"112",111,0.5528,0.1795,0.2677
"113",112,0.5376,0.2006,0.2618
"114",113,0.5233,0.2204,0.2563
"115",114,0.5182,0.2343,0.2475
"116",115,0.5151,0.2468,0.2381
"117",116,0.5051,0.2625,0.2324
"118",117,0.4945,0.2875,0.218
"119",118,0.4862,0.3118,0.202
"120",119,0.4742,0.3298,0.196
"121",120,0.469,0.3452,0.1858
"122",121,0.4626,0.358,0.1794
"123",122,0.4593,0.3745,0.1662
"124",123,0.4613,0.3784,0.1603
"125",124,0.471,0.3801,0.1489
