"","Generation","strategy","prob","freq_media","freq_sd","raio","divided"
"1",0,"B",0,0.333302,0.00402055275359551,"basico",FALSE
"2",0,"O",0,0.333422,0.00437960332136659,"basico",FALSE
"3",0,"Y",0,0.333276,0.00472925816891855,"basico",FALSE
"4",1,"B",0,0.225236,0.00463093506712841,"basico",FALSE
"5",1,"O",0,0.240015,0.00591762262870467,"basico",FALSE
"6",1,"Y",0,0.534749,0.00579577510699898,"basico",FALSE
"7",2,"B",0,0.172676,0.00465292609140971,"basico",FALSE
"8",2,"O",0,0.197849,0.00673048987365659,"basico",FALSE
"9",2,"Y",0,0.629475,0.00618610980709642,"basico",FALSE
"10",3,"B",0,0.141035,0.00463442051775123,"basico",FALSE
"11",3,"O",0,0.180184,0.00815978955957601,"basico",FALSE
"12",3,"Y",0,0.678781,0.00734063954222579,"basico",FALSE
"13",4,"B",0,0.11986,0.00496582258436545,"basico",FALSE
"14",4,"O",0,0.174604,0.00934346765814426,"basico",FALSE
"15",4,"Y",0,0.705536,0.00869939647273872,"basico",FALSE
"16",5,"B",0,0.103347,0.0053490385240072,"basico",FALSE
"17",5,"O",0,0.176872,0.0108346906375827,"basico",FALSE
"18",5,"Y",0,0.719781,0.0106349404599113,"basico",FALSE
"19",6,"B",0,0.090808,0.00574130312874713,"basico",FALSE
"20",6,"O",0,0.184141,0.0116968880865421,"basico",FALSE
"21",6,"Y",0,0.725051,0.0118224277104873,"basico",FALSE
"22",7,"B",0,0.080627,0.00588198508029802,"basico",FALSE
"23",7,"O",0,0.195692,0.0136307190202902,"basico",FALSE
"24",7,"Y",0,0.723681,0.0133170483504295,"basico",FALSE
"25",8,"B",0,0.072412,0.00621343087451073,"basico",FALSE
"26",8,"O",0,0.209492,0.0158739204198254,"basico",FALSE
"27",8,"Y",0,0.718096,0.0154502323868633,"basico",FALSE
"28",9,"B",0,0.065237,0.00564810963281012,"basico",FALSE
"29",9,"O",0,0.225972,0.0180716871029651,"basico",FALSE
"30",9,"Y",0,0.708791,0.0177942624676517,"basico",FALSE
"31",10,"B",0,0.059094,0.0056010428321948,"basico",FALSE
"32",10,"O",0,0.24529,0.0204588500521057,"basico",FALSE
"33",10,"Y",0,0.695616,0.0204719947659472,"basico",FALSE
"34",11,"B",0,0.054463,0.00574626193821916,"basico",FALSE
"35",11,"O",0,0.26655,0.0227090045772352,"basico",FALSE
"36",11,"Y",0,0.678987,0.022650487340622,"basico",FALSE
"37",12,"B",0,0.050157,0.00590632694487852,"basico",FALSE
"38",12,"O",0,0.290991,0.0254374697577563,"basico",FALSE
"39",12,"Y",0,0.658852,0.0249204126301425,"basico",FALSE
"40",13,"B",0,0.046448,0.00581701579224887,"basico",FALSE
"41",13,"O",0,0.317922,0.0284791668672829,"basico",FALSE
"42",13,"Y",0,0.63563,0.0282333619548351,"basico",FALSE
"43",14,"B",0,0.043274,0.00545924514706544,"basico",FALSE
"44",14,"O",0,0.34665,0.0305108541706427,"basico",FALSE
"45",14,"Y",0,0.610076,0.0304707083056247,"basico",FALSE
"46",15,"B",0,0.041057,0.00591739867430842,"basico",FALSE
"47",15,"O",0,0.377742,0.0325845572272659,"basico",FALSE
