"","Generation","O","Y","B"
"1",0,0.3306,0.3345,0.3349
"2",1,0.4882,0.2793,0.2325
"3",2,0.5912,0.2451,0.1637
"4",3,0.6701,0.219,0.1109
"5",4,0.7164,0.2062,0.0774
"6",5,0.7489,0.1966,0.0545
"7",6,0.7823,0.1816,0.0361
"8",7,0.7969,0.1769,0.0262
"9",8,0.8129,0.1684,0.0187
"10",9,0.8242,0.1627,0.0131
"11",10,0.841,0.1502,0.0088
"12",11,0.8511,0.1425,0.0064
"13",12,0.8642,0.1303,0.0055
"14",13,0.8761,0.12,0.0039
"15",14,0.8842,0.1124,0.0034
"16",15,0.8901,0.1069,0.003
"17",16,0.894,0.1034,0.0026
"18",17,0.9057,0.0924,0.0019
"19",18,0.9125,0.0859,0.0016
"20",19,0.9183,0.0804,0.0013
"21",20,0.9246,0.0743,0.0011
"22",21,0.9277,0.0718,5e-04
"23",22,0.9298,0.0697,5e-04
"24",23,0.9354,0.0641,5e-04
"25",24,0.9425,0.057,5e-04
"26",25,0.9447,0.0549,4e-04
"27",26,0.9486,0.0509,5e-04
"28",27,0.951,0.0486,4e-04
"29",28,0.9548,0.045,2e-04
"30",29,0.9589,0.041,1e-04
"31",30,0.9611,0.0387,2e-04
"32",31,0.9639,0.0357,4e-04
"33",32,0.9662,0.0331,7e-04
"34",33,0.9681,0.0315,4e-04
"35",34,0.9742,0.0255,3e-04
"36",35,0.9772,0.0225,3e-04
"37",36,0.9797,0.0202,1e-04
"38",37,0.9824,0.0175,1e-04
"39",38,0.9832,0.0168,0
"40",39,0.9844,0.0156,0
"41",40,0.9884,0.0116,0
"42",41,0.9896,0.0104,0
"43",42,0.9911,0.0089,0
"44",43,0.9923,0.0077,0
"45",44,0.9928,0.0072,0
"46",45,0.9935,0.0065,0
"47",46,0.9948,0.0052,0
"48",47,0.9949,0.0051,0
"49",48,0.9949,0.0051,0
"50",49,0.9957,0.0043,0
"51",50,0.9958,0.0042,0
"52",51,0.9961,0.0039,0
"53",52,0.9966,0.0034,0
"54",53,0.9972,0.0028,0
"55",54,0.998,0.002,0
"56",55,0.999,0.001,0
"57",56,0.9991,9e-04,0
"58",57,0.9994,6e-04,0
"59",58,0.9995,5e-04,0
"60",59,0.9995,5e-04,0
"61",60,0.9992,8e-04,0
"62",61,0.9994,6e-04,0
"63",62,0.9996,4e-04,0
"64",63,0.9999,1e-04,0
"65",64,0.9998,2e-04,0
"66",65,0.9999,1e-04,0
"67",66,0.9999,1e-04,0
"68",67,0.9998,2e-04,0
"69",68,0.9998,2e-04,0
"70",69,1,0,0
"71",70,1,0,0
"72",71,1,0,0
"73",72,1,0,0
"74",73,1,0,0
"75",74,1,0,0
"76",75,1,0,0
"77",76,1,0,0
"78",77,1,0,0
"79",78,1,0,0
"80",79,1,0,0
"81",80,1,0,0
"82",81,1,0,0
"83",82,1,0,0
"84",83,1,0,0
"85",84,1,0,0
"86",85,1,0,0
"87",86,1,0,0
"88",87,1,0,0
"89",88,1,0,0
"90",89,1,0,0
"91",90,1,0,0
"92",91,1,0,0
"93",92,1,0,0
"94",93,1,0,0
"95",94,1,0,0
"96",95,1,0,0
"97",96,1,0,0
"98",97,1,0,0
"99",98,1,0,0
"100",99,1,0,0
"101",100,1,0,0
