"","Generation","strategy","prob","freq_media","freq_sd"
"1",0,"B",0.25,0.333302,0.00402055275359551
"2",0,"O",0.25,0.333422,0.00437960332136659
"3",0,"Y",0.25,0.333276,0.00472925816891855
"4",1,"B",0.25,0.320068,0.006488573951123
"5",1,"O",0.25,0.335447,0.00727878410036992
"6",1,"Y",0.25,0.344485,0.00738679377146961
"7",2,"B",0.25,0.308038,0.00908404951305064
"8",2,"O",0.25,0.33457,0.0100539001930052
"9",2,"Y",0.25,0.357392,0.00971580696856957
"10",3,"B",0.25,0.297139,0.0108966392279751
"11",3,"O",0.25,0.330887,0.0125044852962948
"12",3,"Y",0.25,0.371974,0.0116139381605018
"13",4,"B",0.25,0.28687,0.011815599173905
"14",4,"O",0.25,0.327367,0.0150058376182825
"15",4,"Y",0.25,0.385763,0.0139867517041064
"16",5,"B",0.25,0.275719,0.012840928055765
"17",5,"O",0.25,0.324057,0.0167712070182347
"18",5,"Y",0.25,0.400224,0.0159024432402729
"19",6,"B",0.25,0.264959,0.013546098584784
"20",6,"O",0.25,0.320427,0.0183935037664954
"21",6,"Y",0.25,0.414614,0.0174737437663519
"22",7,"B",0.25,0.253413,0.0138396418985026
"23",7,"O",0.25,0.317499,0.0201647181377712
"24",7,"Y",0.25,0.429088,0.0198836173364868
"25",8,"B",0.25,0.242558,0.0146886830621744
"26",8,"O",0.25,0.315336,0.0218611898167053
"27",8,"Y",0.25,0.442106,0.0218550311800004
"28",9,"B",0.25,0.23112,0.0149887162946537
"29",9,"O",0.25,0.313651,0.0240342033003557
"30",9,"Y",0.25,0.455229,0.0239104021781992
"31",10,"B",0.25,0.219173,0.0157115659321534
"32",10,"O",0.25,0.311771,0.0254597535238452
"33",10,"Y",0.25,0.469056,0.0265453007882637
"34",11,"B",0.25,0.207089,0.016299952872213
"35",11,"O",0.25,0.311691,0.0271489609340391
"36",11,"Y",0.25,0.48122,0.0276373228834056
"37",12,"B",0.25,0.195685,0.016693423219576
"38",12,"O",0.25,0.3132,0.0286430946073721
"39",12,"Y",0.25,0.491115,0.029614303038303
"40",13,"B",0.25,0.184973,0.0167578888704377
"41",13,"O",0.25,0.316086,0.029663946146966
"42",13,"Y",0.25,0.498941,0.0311874135937347
"43",14,"B",0.25,0.174386,0.0175688660574738
"44",14,"O",0.25,0.3194,0.0305170162831867
"45",14,"Y",0.25,0.506214,0.0322254589736222
