"","Generation","strategy","prob","freq_media","freq_sd"
"1",0,"B",0,0.333302,0.00402055275359551
"2",0,"O",0,0.333422,0.00437960332136659
"3",0,"Y",0,0.333276,0.00472925816891855
"4",1,"B",0,0.340979,0.0062430453427406
"5",1,"O",0,0.318784,0.00710353049226548
"6",1,"Y",0,0.340237,0.00687317512970799
"7",2,"B",0,0.353731,0.00862809241883041
"8",2,"O",0,0.294735,0.0103177436163792
"9",2,"Y",0,0.351534,0.00845528010276192
"10",3,"B",0,0.366559,0.00949716698853299
"11",3,"O",0,0.266827,0.0115238168392879
"12",3,"Y",0,0.366614,0.0109729605224052
"13",4,"B",0,0.374956,0.0103528878516425
"14",4,"O",0,0.238686,0.0125361942253846
"15",4,"Y",0,0.386358,0.0131957154050284
"16",5,"B",0,0.379998,0.01148912511724
"17",5,"O",0,0.209244,0.0124223838373325
"18",5,"Y",0,0.410758,0.014830899902541
"19",6,"B",0,0.377774,0.0120262727544172
"20",6,"O",0,0.182375,0.012061696406477
"21",6,"Y",0,0.439851,0.0166814630986347
"22",7,"B",0,0.370137,0.0141024007913833
"23",7,"O",0,0.157838,0.0120234600643572
"24",7,"Y",0,0.472025,0.0194008037686248
"25",8,"B",0,0.355463,0.0163446012771524
"26",8,"O",0,0.136658,0.0115906369387737
"27",8,"Y",0,0.507879,0.0217430787547986
"28",9,"B",0,0.336796,0.0181068596856762
"29",9,"O",0,0.119147,0.0107620306652789
"30",9,"Y",0,0.544057,0.0226814490789992
"31",10,"B",0,0.313271,0.0193601866538711
"32",10,"O",0,0.10554,0.0101157343187769
"33",10,"Y",0,0.581189,0.0226611753374967
"34",11,"B",0,0.288193,0.0204435278093809
"35",11,"O",0,0.094731,0.00934347603648901
"36",11,"Y",0,0.617076,0.023757980562414
"37",12,"B",0,0.261768,0.0211273190945092
"38",12,"O",0,0.087519,0.00906238418247136
"39",12,"Y",0,0.650713,0.0240957628824839
"40",13,"B",0,0.235653,0.0202861521907697
"41",13,"O",0,0.082387,0.00868693033158771
"42",13,"Y",0,0.68196,0.0229766460264823
"43",14,"B",0,0.212392,0.0202006284530702
"44",14,"O",0,0.079912,0.00877138690760066
"45",14,"Y",0,0.707696,0.0229608930597442
"46",15,"B",0,0.191337,0.0198089799807761
"47",15,"O",0,0.078838,0.0088724950085513
"48",15,"Y",0,0.729825,0.0222159028262152
"49",16,"B",0,0.173117,0.0193893340199547
"50",16,"O",0,0.079281,0.00880858964393004
"51",16,"Y",0,0.747602,0.0219788418918989
"52",17,"B",0,0.158262,0.0188765729426876
"53",17,"O",0,0.081263,0.009247119726289
"54",17,"Y",0,0.760475,0.0214174354301359
"55",18,"B",0,0.145448,0.0177623451450113
"56",18,"O",0,0.084147,0.00970131153270245
"57",18,"Y",0,0.770405,0.0204860601779884
"58",19,"B",0,0.135694,0.0170830698871039
"59",19,"O",0,0.087973,0.00995815340271072
"60",19,"Y",0,0.776333,0.0196319470365128
"61",20,"B",0,0.128085,0.0168325044800442
"62",20,"O",0,0.092025,0.0102286029437953
"63",20,"Y",0,0.77989,0.0195398711780955
"64",21,"B",0,0.122581,0.0166772553939414
"65",21,"O",0,0.096764,0.010456910334194
"66",21,"Y",0,0.780655,0.0195669344620568
"67",22,"B",0,0.1186,0.0168524793607962
"68",22,"O",0,0.101703,0.0106706096405505
"69",22,"Y",0,0.779697,0.0193327766638772
"70",23,"B",0,0.116483,0.0169419392054276
"71",23,"O",0,0.106842,0.0113443634382094
"72",23,"Y",0,0.776675,0.0195405994087317
"73",24,"B",0,0.114731,0.0170970651093553
"74",24,"O",0,0.11244,0.0124961650682976
"75",24,"Y",0,0.772829,0.0199511640884648
"76",25,"B",0,0.114317,0.017528424563456
"77",25,"O",0,0.118124,0.0138414552279839
"78",25,"Y",0,0.767559,0.020727442868786
"79",26,"B",0,0.114334,0.0177526849299542
"80",26,"O",0,0.123983,0.0153426655066349
"81",26,"Y",0,0.761683,0.0211945059347507
"82",27,"B",0,0.115412,0.0181471442503895
"83",27,"O",0,0.129577,0.0163970486073044
"84",27,"Y",0,0.755011,0.0219921468766109
"85",28,"B",0,0.116272,0.0184957602567385
"86",28,"O",0,0.134919,0.0173414415476192
"87",28,"Y",0,0.748809,0.0222203432816767
"88",29,"B",0,0.118219,0.0185044668099135
"89",29,"O",0,0.140204,0.0182535726128151
"90",29,"Y",0,0.741577,0.0227209548410468
"91",30,"B",0,0.119736,0.0188060463090405
"92",30,"O",0,0.145537,0.0191870518998115
"93",30,"Y",0,0.734727,0.0226518572610225
"94",31,"B",0,0.1219,0.0192069484480713
"95",31,"O",0,0.150851,0.0201490080213003
"96",31,"Y",0,0.727249,0.0236091939590054
"97",32,"B",0,0.124007,0.0197074372209626
"98",32,"O",0,0.156096,0.0211890381417783
"99",32,"Y",0,0.719897,0.0241822643708361
"100",33,"B",0,0.126256,0.0196962916060436
"101",33,"O",0,0.161323,0.0225436987769411
"102",33,"Y",0,0.712421,0.0252935824295653
"103",34,"B",0,0.129001,0.0202008525422652
"104",34,"O",0,0.166162,0.0233514508882394
"105",34,"Y",0,0.704837,0.0260883024795142
"106",35,"B",0,0.131936,0.0202506641367585
"107",35,"O",0,0.171054,0.0247203364528769
"108",35,"Y",0,0.69701,0.0270841915947926
"109",36,"B",0,0.134605,0.0205783222951933
"110",36,"O",0,0.175744,0.0258229414875747
"111",36,"Y",0,0.689651,0.0278286767834037
"112",37,"B",0,0.137919,0.0211651643227281
"113",37,"O",0,0.180622,0.0268720559298873
"114",37,"Y",0,0.681459,0.0293114797899176
"115",38,"B",0,0.141382,0.0218521125807649
"116",38,"O",0,0.185034,0.0272078056981648
"117",38,"Y",0,0.673584,0.0299687133827627
"118",39,"B",0,0.145005,0.0223006290394589
"119",39,"O",0,0.188619,0.0278375906560779
"120",39,"Y",0,0.666376,0.0314399029736082
"121",40,"B",0,0.148423,0.0230606046290765
"122",40,"O",0,0.192407,0.0285379925925444
"123",40,"Y",0,0.65917,0.0322714950682393
"124",41,"B",0,0.152288,0.0238820683333498
"125",41,"O",0,0.195495,0.0286873159420605
"126",41,"Y",0,0.652217,0.0329417148425469
"127",42,"B",0,0.155978,0.024346055536822
