"","Generation","strategy","prob","freq_media","freq_sd"
"1",0,"B",0.25,0.33339298245614,0.00443914646111819
"2",0,"O",0.25,0.332656140350877,0.0042264903349444
"3",0,"Y",0.25,0.333950877192982,0.00470486536952583
"4",1,"B",0.25,0.3401,0.00715811228108162
"5",1,"O",0.25,0.321145614035088,0.00678088358589895
"6",1,"Y",0.25,0.338754385964912,0.0074165613464404
"7",2,"B",0.25,0.350050877192982,0.00877781543777546
"8",2,"O",0.25,0.304061403508772,0.00857027159066996
"9",2,"Y",0.25,0.345887719298246,0.00920240787929672
"10",3,"B",0.25,0.35899649122807,0.00940738624911831
"11",3,"O",0.25,0.286447368421053,0.00920787910400571
"12",3,"Y",0.25,0.354556140350877,0.0107653547739274
"13",4,"B",0.25,0.368080701754386,0.010111352152699
"14",4,"O",0.25,0.266564912280702,0.00967589957479167
"15",4,"Y",0.25,0.365354385964912,0.0117433426455685
"16",5,"B",0.25,0.375529824561403,0.011444898503455
"17",5,"O",0.25,0.247350877192982,0.0106522989270428
"18",5,"Y",0.25,0.377119298245614,0.0133909809546321
"19",6,"B",0.25,0.380814035087719,0.0124245068685771
"20",6,"O",0.25,0.228763157894737,0.0115523440969934
"21",6,"Y",0.25,0.390422807017544,0.0141356441252987
"22",7,"B",0.25,0.383626315789474,0.0126699662632851
"23",7,"O",0.25,0.2101,0.0128360402216349
"24",7,"Y",0.25,0.406273684210526,0.0157387888251991
"25",8,"B",0.25,0.382975438596491,0.0136430029253847
"26",8,"O",0.25,0.192326315789474,0.0132940309687655
"27",8,"Y",0.25,0.424698245614035,0.017295927382191
"28",9,"B",0.25,0.380135087719298,0.0140901370168243
"29",9,"O",0.25,0.175257894736842,0.0138630926688768
"30",9,"Y",0.25,0.44460701754386,0.0196981585401957
"31",10,"B",0.25,0.375654385964912,0.0156198828212113
"32",10,"O",0.25,0.159435087719298,0.0138637823537764
"33",10,"Y",0.25,0.464910526315789,0.0215764395663627
"34",11,"B",0.25,0.367826315789474,0.0176437516895985
"35",11,"O",0.25,0.145405263157895,0.0140309023873916
"36",11,"Y",0.25,0.486768421052632,0.0239467575936309
"37",12,"B",0.25,0.358191228070175,0.0196579525955941
