"","sim","Generation","strategy","freq","prob","freq_0_O","freq_0_Y","freq_0_B","neighbors","devide"
"1","1",0,"O",0.3306,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"TRUE","FALSE"
"2","1",0,"Y",0.3345,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"TRUE","FALSE"
"3","1",0,"B",0.3349,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"TRUE","FALSE"
"4","1",1,"O",0.3212,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"TRUE","FALSE"
"5","1",1,"Y",0.3436,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"TRUE","FALSE"
"6","1",1,"B",0.3352,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"TRUE","FALSE"
"7","1",2,"O",0.3028,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"TRUE","FALSE"
"8","1",2,"Y",0.3538,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"TRUE","FALSE"
"9","1",2,"B",0.3434,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"TRUE","FALSE"
"10","1",3,"O",0.2857,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"TRUE","FALSE"
"11","1",3,"Y",0.3619,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"TRUE","FALSE"
"12","1",3,"B",0.3524,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"TRUE","FALSE"
"13","1",4,"O",0.2675,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"TRUE","FALSE"
"14","1",4,"Y",0.3762,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"TRUE","FALSE"
"15","1",4,"B",0.3563,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"TRUE","FALSE"
"16","1",5,"O",0.2507,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"TRUE","FALSE"
"17","1",5,"Y",0.3811,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"TRUE","FALSE"
"18","1",5,"B",0.3682,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"TRUE","FALSE"
"19","1",6,"O",0.2364,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"TRUE","FALSE"
"20","1",6,"Y",0.3892,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"TRUE","FALSE"
"21","1",6,"B",0.3744,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"TRUE","FALSE"
"22","1",7,"O",0.2208,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"TRUE","FALSE"
