"","Generation","O","Y","B"
"1",0,0.3302,0.3346,0.3352
"2",1,0.3178,0.3407,0.3415
"3",2,0.2905,0.3505,0.359
"4",3,0.2713,0.3567,0.372
"5",4,0.2529,0.3672,0.3799
"6",5,0.2264,0.3787,0.3949
"7",6,0.2079,0.3898,0.4023
"8",7,0.1872,0.412,0.4008
"9",8,0.1718,0.4321,0.3961
"10",9,0.1524,0.4597,0.3879
"11",10,0.1324,0.486,0.3816
"12",11,0.1161,0.5106,0.3733
"13",12,0.1026,0.5352,0.3622
"14",13,0.0895,0.5626,0.3479
"15",14,0.0769,0.5893,0.3338
"16",15,0.0682,0.6153,0.3165
"17",16,0.0618,0.643,0.2952
"18",17,0.0558,0.6736,0.2706
"19",18,0.0522,0.6962,0.2516
"20",19,0.0478,0.7246,0.2276
"21",20,0.0439,0.7527,0.2034
"22",21,0.0409,0.7826,0.1765
"23",22,0.0345,0.8105,0.155
"24",23,0.0336,0.8324,0.134
"25",24,0.0333,0.8549,0.1118
"26",25,0.0342,0.8734,0.0924
"27",26,0.0365,0.8881,0.0754
"28",27,0.0383,0.9002,0.0615
"29",28,0.04,0.9058,0.0542
"30",29,0.042,0.9144,0.0436
"31",30,0.0458,0.9196,0.0346
"32",31,0.0495,0.9216,0.0289
"33",32,0.0585,0.9187,0.0228
"34",33,0.0655,0.915,0.0195
"35",34,0.0738,0.9086,0.0176
"36",35,0.0824,0.9023,0.0153
"37",36,0.0867,0.9005,0.0128
"38",37,0.0952,0.8935,0.0113
"39",38,0.1089,0.8815,0.0096
"40",39,0.1219,0.8696,0.0085
"41",40,0.1306,0.8613,0.0081
"42",41,0.1413,0.8502,0.0085
"43",42,0.1628,0.8296,0.0076
"44",43,0.1763,0.8173,0.0064
"45",44,0.1936,0.7997,0.0067
"46",45,0.2109,0.7829,0.0062
"47",46,0.2282,0.7666,0.0052
"48",47,0.2547,0.7401,0.0052
"49",48,0.2822,0.7118,0.006
"50",49,0.3119,0.6808,0.0073
"51",50,0.335,0.6572,0.0078
"52",51,0.357,0.6372,0.0058
"53",52,0.3737,0.6214,0.0049
"54",53,0.3951,0.6009,0.004
"55",54,0.4177,0.5791,0.0032
"56",55,0.4464,0.5511,0.0025
"57",56,0.4707,0.5277,0.0016
"58",57,0.4957,0.5036,7e-04
"59",58,0.5177,0.4817,6e-04
"60",59,0.5371,0.4622,7e-04
"61",60,0.5598,0.4394,8e-04
"62",61,0.5809,0.4183,8e-04
"63",62,0.6032,0.3962,6e-04
"64",63,0.6269,0.3727,4e-04
"65",64,0.6461,0.3535,4e-04
"66",65,0.6638,0.3359,3e-04
"67",66,0.6848,0.315,2e-04
"68",67,0.7031,0.2968,1e-04
"69",68,0.726,0.274,0
"70",69,0.7411,0.2589,0
"71",70,0.7572,0.2428,0
"72",71,0.7737,0.2263,0
"73",72,0.7903,0.2097,0
"74",73,0.8118,0.1882,0
"75",74,0.8243,0.1757,0
"76",75,0.8345,0.1655,0
"77",76,0.8441,0.1559,0
"78",77,0.8535,0.1465,0
"79",78,0.862,0.138,0
"80",79,0.8742,0.1258,0
"81",80,0.8833,0.1167,0
"82",81,0.8959,0.1041,0
"83",82,0.9038,0.0962,0
"84",83,0.9052,0.0948,0
"85",84,0.9106,0.0894,0
"86",85,0.9172,0.0828,0
"87",86,0.9193,0.0807,0
"88",87,0.9219,0.0781,0
"89",88,0.9247,0.0753,0
"90",89,0.9304,0.0696,0
"91",90,0.9351,0.0649,0
"92",91,0.9376,0.0624,0
"93",92,0.9401,0.0599,0
"94",93,0.946,0.054,0
"95",94,0.947,0.053,0
"96",95,0.9501,0.0499,0
"97",96,0.9525,0.0475,0
"98",97,0.9576,0.0424,0
"99",98,0.9618,0.0382,0
"100",99,0.9635,0.0365,0
"101",100,0.9656,0.0344,0
"102",101,0.9672,0.0328,0
"103",102,0.9674,0.0326,0
"104",103,0.9695,0.0305,0
"105",104,0.9739,0.0261,0
"106",105,0.9792,0.0208,0
"107",106,0.981,0.019,0
"108",107,0.9793,0.0207,0
"109",108,0.9821,0.0179,0
"110",109,0.9833,0.0167,0
"111",110,0.9867,0.0133,0
"112",111,0.988,0.012,0
"113",112,0.9902,0.0098,0
"114",113,0.9919,0.0081,0
"115",114,0.9912,0.0088,0
"116",115,0.9918,0.0082,0
"117",116,0.9943,0.0057,0
"118",117,0.9959,0.0041,0
"119",118,0.9965,0.0035,0
"120",119,0.9969,0.0031,0
"121",120,0.9979,0.0021,0
"122",121,0.9983,0.0017,0
"123",122,0.9987,0.0013,0
"124",123,0.9989,0.0011,0
"125",124,0.9987,0.0013,0
"126",125,0.9985,0.0015,0
"127",126,0.9987,0.0013,0
"128",127,0.9986,0.0014,0
"129",128,0.9992,8e-04,0
"130",129,0.9993,7e-04,0
"131",130,0.9994,6e-04,0
"132",131,0.9994,6e-04,0
"133",132,0.9996,4e-04,0
"134",133,0.9996,4e-04,0
"135",134,0.9995,5e-04,0
"136",135,0.9995,5e-04,0
"137",136,0.9995,5e-04,0
"138",137,0.9998,2e-04,0
"139",138,0.9998,2e-04,0
"140",139,0.9998,2e-04,0
"141",140,0.9999,1e-04,0
"142",141,0.9999,1e-04,0
"143",142,0.9999,1e-04,0
"144",143,1,0,0
"145",144,1,0,0
"146",145,1,0,0
"147",146,1,0,0
"148",147,1,0,0
"149",148,1,0,0
"150",149,1,0,0
"151",150,1,0,0
"152",151,1,0,0
"153",152,1,0,0
"154",153,1,0,0
"155",154,1,0,0
"156",155,1,0,0
"157",156,1,0,0
"158",157,1,0,0
"159",158,1,0,0
"160",159,1,0,0
"161",160,1,0,0
"162",161,1,0,0
"163",162,1,0,0
"164",163,1,0,0
"165",164,1,0,0
"166",165,1,0,0
"167",166,1,0,0
"168",167,1,0,0
"169",168,1,0,0
"170",169,1,0,0
"171",170,1,0,0
"172",171,1,0,0
"173",172,1,0,0
"174",173,1,0,0
"175",174,1,0,0
"176",175,1,0,0
"177",176,1,0,0
"178",177,1,0,0
