"","Generation","strategy","prob","freq_media","freq_sd"
"1",0,"B",0,0.333302,0.00402055275359551
"2",0,"B",0.1,0.333302,0.00402055275359551
"3",0,"B",0.2,0.333302,0.00402055275359551
"4",0,"B",0.3,0.333302,0.00402055275359551
"5",0,"B",0.4,0.333302,0.00402055275359551
"6",0,"B",0.5,0.333302,0.00402055275359551
"7",0,"B",0.6,0.333302,0.00402055275359551
"8",0,"B",0.7,0.333302,0.00402055275359551
"9",0,"B",0.8,0.333302,0.00402055275359551
"10",0,"B",0.9,0.333302,0.00402055275359551
"11",0,"B",1,0.333302,0.00400221908418519
"12",0,"O",0,0.333422,0.00437960332136659
"13",0,"O",0.1,0.333422,0.00437960332136659
"14",0,"O",0.2,0.333422,0.00437960332136659
"15",0,"O",0.3,0.333422,0.00437960332136659
"16",0,"O",0.4,0.333422,0.00437960332136659
"17",0,"O",0.5,0.333422,0.00437960332136659
"18",0,"O",0.6,0.333422,0.00437960332136659
"19",0,"O",0.7,0.333422,0.00437960332136659
"20",0,"O",0.8,0.333422,0.00437960332136659
"21",0,"O",0.9,0.333422,0.00437960332136659
"22",0,"O",1,0.333422,0.00435963238593478
"23",0,"Y",0,0.333276,0.00472925816891855
"24",0,"Y",0.1,0.333276,0.00472925816891855
"25",0,"Y",0.2,0.333276,0.00472925816891855
"26",0,"Y",0.3,0.333276,0.00472925816891855
"27",0,"Y",0.4,0.333276,0.00472925816891855
"28",0,"Y",0.5,0.333276,0.00472925816891855
"29",0,"Y",0.6,0.333276,0.00472925816891855
"30",0,"Y",0.7,0.333276,0.00472925816891855
"31",0,"Y",0.8,0.333276,0.00472925816891855
"32",0,"Y",0.9,0.333276,0.00472925816891855
"33",0,"Y",1,0.333276,0.00470769281182992
"34",1,"B",0,0.332829,0.0161933599997285
"35",1,"B",0.1,0.332794,0.0144223859385892
"36",1,"B",0.2,0.332367,0.0126455969500147
"37",1,"B",0.3,0.332279,0.010944250785345
"38",1,"B",0.4,0.332857,0.00990288454048729
"39",1,"B",0.5,0.332647,0.00867998341710467
"40",1,"B",0.6,0.332664,0.00748689791596229
"41",1,"B",0.7,0.332809,0.00612755154028001
"42",1,"B",0.8,0.332898,0.00503950013554535
"43",1,"B",0.9,0.333194,0.00448124757160099
"44",1,"B",1,0.332785454545455,0.0098612045469213
"45",1,"O",0,0.334673,0.0128621506833819
"46",1,"O",0.1,0.334629,0.0116621661882354
"47",1,"O",0.2,0.334809,0.0103700335076361
"48",1,"O",0.3,0.334772,0.00920101092381712
"49",1,"O",0.4,0.334322,0.00830986489333337
"50",1,"O",0.5,0.33422,0.00738349237122648
