"","Generation","O","Y","B"
"1",0,0.3306,0.3345,0.3349
"2",1,0.3295,0.3345,0.336
"3",2,0.3344,0.3315,0.3341
"4",3,0.3373,0.3278,0.3349
"5",4,0.3369,0.3296,0.3335
"6",5,0.3396,0.3311,0.3293
"7",6,0.3416,0.3333,0.3251
"8",7,0.339,0.339,0.322
"9",8,0.338,0.3398,0.3222
"10",9,0.336,0.3421,0.3219
"11",10,0.3349,0.3472,0.3179
"12",11,0.3315,0.3476,0.3209
"13",12,0.3272,0.3465,0.3263
"14",13,0.3282,0.3441,0.3277
"15",14,0.3251,0.3452,0.3297
"16",15,0.3198,0.3431,0.3371
"17",16,0.3188,0.3414,0.3398
"18",17,0.3161,0.3367,0.3472
"19",18,0.3162,0.3311,0.3527
"20",19,0.3183,0.3282,0.3535
"21",20,0.3181,0.3276,0.3543
"22",21,0.3233,0.3229,0.3538
"23",22,0.3292,0.3186,0.3522
"24",23,0.3313,0.3207,0.348
"25",24,0.3348,0.3218,0.3434
"26",25,0.3367,0.3231,0.3402
"27",26,0.3427,0.3211,0.3362
"28",27,0.345,0.3218,0.3332
"29",28,0.3506,0.3253,0.3241
"30",29,0.3522,0.3248,0.323
"31",30,0.3475,0.3266,0.3259
"32",31,0.3472,0.3301,0.3227
"33",32,0.3419,0.3349,0.3232
"34",33,0.3376,0.3401,0.3223
"35",34,0.3359,0.3455,0.3186
"36",35,0.3284,0.3542,0.3174
"37",36,0.3267,0.3534,0.3199
"38",37,0.324,0.3544,0.3216
"39",38,0.3225,0.3539,0.3236
"40",39,0.3208,0.3544,0.3248
"41",40,0.323,0.3509,0.3261
"42",41,0.3256,0.3461,0.3283
"43",42,0.3259,0.3435,0.3306
"44",43,0.3245,0.3354,0.3401
"45",44,0.3282,0.3307,0.3411
"46",45,0.3293,0.3263,0.3444
"47",46,0.3287,0.3269,0.3444
"48",47,0.328,0.3235,0.3485
"49",48,0.3308,0.3238,0.3454
"50",49,0.3276,0.3259,0.3465
"51",50,0.3316,0.324,0.3444
"52",51,0.3313,0.3249,0.3438
"53",52,0.3321,0.3246,0.3433
"54",53,0.3324,0.3268,0.3408
"55",54,0.3356,0.3265,0.3379
"56",55,0.341,0.3229,0.3361
"57",56,0.34,0.3263,0.3337
"58",57,0.3392,0.3311,0.3297
"59",58,0.3393,0.335,0.3257
"60",59,0.3343,0.3388,0.3269
"61",60,0.334,0.3372,0.3288
"62",61,0.333,0.3413,0.3257
"63",62,0.3291,0.3447,0.3262
"64",63,0.332,0.3434,0.3246
"65",64,0.3378,0.3407,0.3215
"66",65,0.3374,0.3401,0.3225
"67",66,0.3364,0.3391,0.3245
"68",67,0.3372,0.3361,0.3267
"69",68,0.3345,0.3374,0.3281
"70",69,0.3332,0.3385,0.3283
"71",70,0.3292,0.3419,0.3289
"72",71,0.3283,0.34,0.3317
"73",72,0.3297,0.338,0.3323
"74",73,0.3267,0.3368,0.3365
"75",74,0.3263,0.3361,0.3376
"76",75,0.322,0.3417,0.3363
"77",76,0.3171,0.3391,0.3438
"78",77,0.3164,0.335,0.3486
"79",78,0.3184,0.3314,0.3502
"80",79,0.3208,0.33,0.3492
"81",80,0.3268,0.3277,0.3455
"82",81,0.33,0.3242,0.3458
"83",82,0.3384,0.3229,0.3387
"84",83,0.3442,0.3205,0.3353
"85",84,0.3431,0.3275,0.3294
"86",85,0.3463,0.3301,0.3236
"87",86,0.3455,0.3345,0.32
"88",87,0.343,0.3378,0.3192
"89",88,0.335,0.3452,0.3198
"90",89,0.3322,0.3503,0.3175
"91",90,0.3297,0.3511,0.3192
"92",91,0.3285,0.3499,0.3216
"93",92,0.3292,0.3476,0.3232
"94",93,0.3277,0.3479,0.3244
"95",94,0.3246,0.3525,0.3229
"96",95,0.3224,0.3508,0.3268
"97",96,0.3226,0.3517,0.3257
"98",97,0.3234,0.3475,0.3291
"99",98,0.3281,0.3437,0.3282
"100",99,0.326,0.3411,0.3329
"101",100,0.3235,0.3384,0.3381
"102",101,0.3248,0.3356,0.3396
"103",102,0.3251,0.3316,0.3433
"104",103,0.3269,0.326,0.3471
"105",104,0.3282,0.3205,0.3513
"106",105,0.33,0.3218,0.3482
"107",106,0.3293,0.3199,0.3508
"108",107,0.3333,0.3198,0.3469
"109",108,0.3363,0.3196,0.3441
"110",109,0.3398,0.3201,0.3401
"111",110,0.3429,0.3195,0.3376
"112",111,0.3511,0.3175,0.3314
"113",112,0.3492,0.3218,0.329
"114",113,0.3496,0.3235,0.3269
"115",114,0.3463,0.3291,0.3246
"116",115,0.3425,0.3324,0.3251
"117",116,0.339,0.3359,0.3251
"118",117,0.3372,0.3407,0.3221
"119",118,0.3302,0.3496,0.3202
"120",119,0.3279,0.3514,0.3207
"121",120,0.3259,0.3531,0.321
"122",121,0.3203,0.3551,0.3246
"123",122,0.314,0.3533,0.3327
"124",123,0.3105,0.35,0.3395
"125",124,0.3122,0.344,0.3438
"126",125,0.3143,0.3363,0.3494
"127",126,0.3173,0.3294,0.3533
"128",127,0.321,0.3205,0.3585
"129",128,0.3256,0.3124,0.362
"130",129,0.3307,0.3095,0.3598
"131",130,0.3395,0.3036,0.3569
"132",131,0.3479,0.3019,0.3502
"133",132,0.3523,0.3048,0.3429
"134",133,0.3537,0.3128,0.3335
"135",134,0.3566,0.3195,0.3239
"136",135,0.3587,0.3213,0.32
"137",136,0.3487,0.3306,0.3207
"138",137,0.3487,0.329,0.3223
"139",138,0.3482,0.3329,0.3189
"140",139,0.3384,0.3432,0.3184
"141",140,0.3312,0.3481,0.3207
"142",141,0.3273,0.3501,0.3226
"143",142,0.3239,0.353,0.3231
"144",143,0.3182,0.3541,0.3277
"145",144,0.3093,0.3529,0.3378
"146",145,0.3106,0.3525,0.3369
"147",146,0.3076,0.3525,0.3399
"148",147,0.3104,0.3449,0.3447
"149",148,0.3105,0.3412,0.3483
"150",149,0.3159,0.3334,0.3507
"151",150,0.3224,0.3273,0.3503
"152",151,0.33,0.3201,0.3499
"153",152,0.3362,0.3174,0.3464
"154",153,0.3396,0.3202,0.3402
"155",154,0.3423,0.3214,0.3363
"156",155,0.3471,0.3167,0.3362
"157",156,0.3487,0.3184,0.3329
"158",157,0.3528,0.3222,0.325
"159",158,0.3578,0.322,0.3202
"160",159,0.3567,0.3291,0.3142
"161",160,0.3522,0.3372,0.3106
"162",161,0.3531,0.3421,0.3048
"163",162,0.3475,0.3485,0.304
"164",163,0.3411,0.3544,0.3045
"165",164,0.3356,0.3586,0.3058
"166",165,0.3318,0.3624,0.3058
"167",166,0.324,0.3688,0.3072
"168",167,0.3185,0.3675,0.314
"169",168,0.3137,0.3649,0.3214
"170",169,0.3141,0.358,0.3279
"171",170,0.3138,0.3484,0.3378
