"","Generation","strategy","prob","freq_media","freq_sd"
"1",0,"B",0,0.333302,0.00402055275359551
"2",0,"O",0,0.333422,0.00437960332136659
"3",0,"Y",0,0.333276,0.00472925816891855
"4",1,"B",0,0.332826,0.0153511597298219
"5",1,"O",0,0.334481,0.0122501263238178
"6",1,"Y",0,0.332693,0.0142580280770682
"7",2,"B",0,0.332986,0.017471500718992
"8",2,"O",0,0.334131,0.0188628687418356
"9",2,"Y",0,0.332883,0.019587797969474
"10",3,"B",0,0.332899,0.0215338844802344
"11",3,"O",0,0.333513,0.0222092603081315
"12",3,"Y",0,0.333588,0.0197717290262351
"13",4,"B",0,0.333921,0.0243032578561855
"14",4,"O",0,0.332256,0.0216594128650009
"15",4,"Y",0,0.333823,0.0217117286881138
"16",5,"B",0,0.334087,0.0245680734558763
"17",5,"O",0,0.331686,0.0209447470331544
"18",5,"Y",0,0.334227,0.0240796022274942
"19",6,"B",0,0.333742,0.0221238761285064
"20",6,"O",0,0.331571,0.0211068866879169
"21",6,"Y",0,0.334687,0.024645038245071
"22",7,"B",0,0.3337,0.0203228487623704
"23",7,"O",0,0.33133,0.0232593697857075
"24",7,"Y",0,0.33497,0.0243105476547265
"25",8,"B",0,0.333972,0.0204515840190653
"26",8,"O",0,0.331342,0.0243878558120863
"27",8,"Y",0,0.334686,0.0225028573718759
"28",9,"B",0,0.334335,0.0212933639541724
"29",9,"O",0,0.330795,0.0235821897142138
"30",9,"Y",0,0.33487,0.0202353351313683
"31",10,"B",0,0.33378,0.0219422013941218
"32",10,"O",0,0.331385,0.021675911197978
"33",10,"Y",0,0.334835,0.0209791785907703
"34",11,"B",0,0.333734,0.0208919162753579
"35",11,"O",0,0.332166,0.0218209112013354
"36",11,"Y",0,0.3341,0.0219791728780689
"37",12,"B",0,0.333614,0.0209180122469521
"38",12,"O",0,0.333104,0.0225015102523445
"39",12,"Y",0,0.333282,0.021903997974633
"40",13,"B",0,0.332961,0.0210149340597432
"41",13,"O",0,0.334267,0.0218546440295093
"42",13,"Y",0,0.332772,0.0221768059745384
"43",14,"B",0,0.332673,0.0205984889854778
"44",14,"O",0,0.333673,0.0203854268356767
"45",14,"Y",0,0.333654,0.0217123826328655
"46",15,"B",0,0.332829,0.0208917329113792
"47",15,"O",0,0.332974,0.0204370510237034
"48",15,"Y",0,0.334197,0.0204709178044751
"49",16,"B",0,0.333125,0.0220005940002455
"50",16,"O",0,0.332751,0.0203980465246112
"51",16,"Y",0,0.334124,0.019631401973225
"52",17,"B",0,0.332609,0.0223781643888444
"53",17,"O",0,0.332726,0.01985494681764
"54",17,"Y",0,0.334665,0.0198166054998164
"55",18,"B",0,0.332638,0.0221444284896069
"56",18,"O",0,0.333066,0.0187637207440746
"57",18,"Y",0,0.334296,0.0202598768530564
"58",19,"B",0,0.33259,0.0208059796183402
"59",19,"O",0,0.333124,0.0179840901629718
"60",19,"Y",0,0.334286,0.0204345123986284
"61",20,"B",0,0.333045,0.0195299685539217
"62",20,"O",0,0.331992,0.0178026424097008
"63",20,"Y",0,0.334963,0.0200450334159478
"64",21,"B",0,0.332874,0.019503533065068
"65",21,"O",0,0.331455,0.0196178149042181
"66",21,"Y",0,0.335671,0.021127378450769
"67",22,"B",0,0.332842,0.0201369461940037
"68",22,"O",0,0.331538,0.0210985459789115
"69",22,"Y",0,0.33562,0.0212378592769296
"70",23,"B",0,0.33284,0.0199605773078998
"71",23,"O",0,0.33213,0.0213408485815775
"72",23,"Y",0,0.33503,0.020095587233585
"73",24,"B",0,0.333267,0.019479697045121
"74",24,"O",0,0.332459,0.0201693441498315
"75",24,"Y",0,0.334274,0.0188884851887935
"76",25,"B",0,0.333132,0.0204232382992086
"77",25,"O",0,0.332609,0.01980663645031
"78",25,"Y",0,0.334259,0.019261114304277
"79",26,"B",0,0.332996,0.0207915674437421
"80",26,"O",0,0.332635,0.0195948734534461
"81",26,"Y",0,0.334369,0.019503274498443
"82",27,"B",0,0.332787,0.0207982160025539
"83",27,"O",0,0.332976,0.020165873362809
"84",27,"Y",0,0.334237,0.0207875820303052
"85",28,"B",0,0.33352,0.020527114367159
"86",28,"O",0,0.332763,0.0201422800460759
"87",28,"Y",0,0.333717,0.0208161653140976
"88",29,"B",0,0.334479,0.0207556456722678
"89",29,"O",0,0.331462,0.020219401523779
"90",29,"Y",0,0.334059,0.0198664790259595
"91",30,"B",0,0.33424,0.0201985698063557
"92",30,"O",0,0.33027,0.019495430700085
"93",30,"Y",0,0.33549,0.0188838903071193
"94",31,"B",0,0.333336,0.0196931332953875
"95",31,"O",0,0.330743,0.0183169307064544
"96",31,"Y",0,0.335921,0.0188645640492347
"97",32,"B",0,0.332846,0.0197047162482549
"98",32,"O",0,0.331757,0.0186976272194191
"99",32,"Y",0,0.335397,0.0205630661108403
"100",33,"B",0,0.332114,0.0203815871548193
"101",33,"O",0,0.332752,0.0199456862504152
"102",33,"Y",0,0.335134,0.0220121326508447
"103",34,"B",0,0.330725,0.0207732558008045
"104",34,"O",0,0.333263,0.0200998198645127
"105",34,"Y",0,0.336012,0.0225675877346609
"106",35,"B",0,0.32964,0.0201493865360159
"107",35,"O",0,0.334108,0.0198731974215921
"108",35,"Y",0,0.336252,0.0224151620763511
"109",36,"B",0,0.329073,0.0185011321247914
"110",36,"O",0,0.334676,0.019024848822718
"111",36,"Y",0,0.336251,0.0218260362314314
"112",37,"B",0,0.329975,0.016943687928136
"113",37,"O",0,0.334151,0.0190882876723562
"114",37,"Y",0,0.335874,0.0206621872955983
"115",38,"B",0,0.33094,0.0165897436978272
"116",38,"O",0,0.33289,0.0202122350185338
"117",38,"Y",0,0.33617,0.0200254207133702
"118",39,"B",0,0.331802,0.0177168639630965
"119",39,"O",0,0.332029,0.0213157469889509
"120",39,"Y",0,0.336169,0.0195155400135431
"121",40,"B",0,0.33171,0.020243445129401
"122",40,"O",0,0.332414,0.0215572295403316
"123",40,"Y",0,0.335876,0.0189085792083056
"124",41,"B",0,0.332543,0.0215199520060672
"125",41,"O",0,0.332146,0.0205643528976968
"126",41,"Y",0,0.335311,0.0192637037409264
"127",42,"B",0,0.332875,0.0215759797932887
